image_id,filename,role,width,height,sha256,source_dataset,source_version,source_doi,source_page,transform,facial_keypoints_scored,license_basis,license_url,distribution_status
D04-C01,d04-01-calibration-full-coco17-frontal.jpg,guided,1120,2060,39c076e57befc34647c0bd7d6a1420711f9895f4e9c89a2e12841c74f3953ab9,HSRD-100: 100 High-Quality 3D Human Scans Dataset,2025 dataset revision,,https://huggingface.co/datasets/digitalrealitylab/HSRD-100,baseline,yes,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,classroom-noncommercial
D04-C02,d04-02-calibration-raised-arm-coco17.jpg,guided,1000,2100,24f81c0ad01143d42118237070c1265cc16e19f9ff29e3333b0391cb20e1966d,HSRD-100: 100 High-Quality 3D Human Scans Dataset,2025 dataset revision,,https://huggingface.co/datasets/digitalrealitylab/HSRD-100,baseline,yes,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,classroom-noncommercial
D04-M03,d04-03-cabin-real-vehicle-baseline.jpg,independent,1200,1000,d779296a708c9dd9c99bbbbcc400383540b366650fd803f03e538c6d0c24a647,Driver Risk Behavior Dataset for Embedded Vision Applications,1,10.17632/562zj8n7xf.1,https://data.mendeley.com/datasets/562zj8n7xf/1,baseline,no,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,classroom-noncommercial
D04-M04,d04-04-cabin-real-vehicle-object-interaction.jpg,independent,1100,1000,ed0ac3dfb587298af499714f5a91bc456ae3e9b9f60d82cbc7402d69815211e3,Driver Risk Behavior Dataset for Embedded Vision Applications,1,10.17632/562zj8n7xf.1,https://data.mendeley.com/datasets/562zj8n7xf/1,baseline,no,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,classroom-noncommercial
D04-M05,d04-05-cabin-real-vehicle-cool-cast.jpg,independent,1300,1000,ac0763a04415e6802ad77e0a811bf94fae2d114206a27e802f7be91f452b5aaa,Driver Risk Behavior Dataset for Embedded Vision Applications,1,10.17632/562zj8n7xf.1,https://data.mendeley.com/datasets/562zj8n7xf/1,baseline,no,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,classroom-noncommercial
D04-M06,d04-06-cabin-real-vehicle-forward-lean.jpg,independent,1300,1000,cdc46779c624736d2f6018517ccd56e861194375b98ff58b0a247c0ccd508628,Driver Risk Behavior Dataset for Embedded Vision Applications,1,10.17632/562zj8n7xf.1,https://data.mendeley.com/datasets/562zj8n7xf/1,baseline,no,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,classroom-noncommercial
D04-M07,d04-07-cabin-real-vehicle-handheld-object.jpg,independent,1150,1000,e752e1df1e4d989afb5ed544ff3e5c61daae6b7021bd8590c076c4351d788e67,Driver Risk Behavior Dataset for Embedded Vision Applications,1,10.17632/562zj8n7xf.1,https://data.mendeley.com/datasets/562zj8n7xf/1,baseline,no,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,classroom-noncommercial
D04-H08,d04-08-cabin-simulator-low-light.jpg,independent,640,480,1fc5af876fd6ecb39f36efb7723b93b52d04f718150e607cc3dc1e488677ee68,RGB and Depth videos directory,1,10.25452/figshare.plus.22277668.v1,https://plus.figshare.com/articles/dataset/RGB_and_Depth_videos_directory/22277668,low-light,no,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,classroom-noncommercial
D04-H09,d04-09-cabin-simulator-glare.jpg,independent,640,480,8c08b9fdc489b774b4af13d10e3ed737ba5fee8cf2ca586de2c9ff535fd72b2d,RGB and Depth videos directory,1,10.25452/figshare.plus.22277668.v1,https://plus.figshare.com/articles/dataset/RGB_and_Depth_videos_directory/22277668,glare,no,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,classroom-noncommercial
D04-H10,d04-10-cabin-simulator-obstruction.jpg,independent,640,480,c27ee64c727051cc967a0d2d9368ad9102eaac681b3c4bfa60ce4fdee7f8ca30,RGB and Depth videos directory,1,10.25452/figshare.plus.22277668.v1,https://plus.figshare.com/articles/dataset/RGB_and_Depth_videos_directory/22277668,partial-obstruction,no,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,classroom-noncommercial
